Datos de acopio de Villas Tulum/Sendero Verde,,,,,,,,,Totales Recolectas por mes,,,,,,,,,Totales Valorizados por mes,,,,,,,,,,,,,,,
Fecha,Carton (kg),PET (kg),HDP (kg),Aluminio (kg),Metal (kg),Tetrapak (kg),Total (kg),,Mes/Año,Carton (kg),PET (kg),HDP (kg),Aluminio (kg),Metal (kg),Tetrapak (kg),Total (kg),,Mes/Año,Carton (MXN),PET (MXN),HDP (MXN),Aluminio (MXN),Metal (MXN),Tetrapak (MXN),Total (MXN),,Carton ,PET ,HDP ,Aluminio ,Metal ,Tetrapak ,Total (MXN)
10/1/2019,48.6,56.4,4.6,7.3,0,4.5,121.4,,agosto 2019,338.65,216.6,31,20.76,0,27.86,634.87,,agosto 2019,$507.98,$649.80,$31.00,$311.40,$0.00,$0.00,"$1,500.18",Nueva $/kg,1.5,3,1,15,1,0,
8/2/2019,70.8,55.4,0,0,0,23.5,149.7,,septiembre 2019,86.8,128.4,0,18.6,0,10.8,244.6,,septiembre 2019,$130.20,$385.20,$0.00,$279.00,$0.00,$0.00,$794.40,Totales por material:,"$4,611.83","$8,839.20",$530.30,"$4,387.65",$382.10,$0.00,"$18,751.08"
9/3/2019,80,44.6,0,6.4,0,8.6,139.6,,octubre 2019,160.3,153.1,7.4,19,0,16,355.8,,octubre 2019,$240.45,$459.30,$7.40,$285.00,$0.00,$0.00,$992.15,,,,,,,,
12/3/2019,15.4,39.8,0,4.2,0,5.7,65.1,,noviembre 2019,125.4,159.7,0,20.8,0,28.4,334.3,,noviembre 2019,$188.10,$479.10,$0.00,$312.00,$0.00,$0.00,$979.20,,,,,,,,
11/5/2019,48.5,38.4,0,3.8,0,0,90.7,,diciembre 2019,85.4,78.3,7.2,12.8,0,9.8,193.5,,diciembre 2019,$128.10,$234.90,$7.20,$192.00,$0.00,$0.00,$562.20,,,,,,,,
8/6/2019,63.4,35,4.1,4.6,0,3.8,110.9,,enero 2020,104.5,100.3,0,1,15.4,4,225.2,,enero 2020,$156.75,$300.90,$0.00,$15.00,$15.40,$0.00,$488.05,,,,,,,,
9/6/2019,18.9,15.4,13.5,5.3,0,7.2,60.3,,febrero 2020,27.2,45.8,0,0,8.7,15.4,97.1,,febrero 2020,$40.80,$137.40,$0.00,$0.00,$8.70,$0.00,$186.90,,,,,,,,
12/6/2019,20.2,25.4,0,3.3,0,6.5,55.4,,marzo 2020,154.5,179.8,2.5,0,25.9,50.3,413,,marzo 2020,$231.75,$539.40,$2.50,$0.00,$25.90,$0.00,$799.55,MAREMEX $/kg,0.5,1.2,0.5,10,1,0,
23/7/2019,76.4,46,4.8,2,0,4.5,133.7,,abril 2020,122.3,140.6,11.7,0.4,19.8,17.4,312.2,,abril 2020,$183.45,$421.80,$11.70,$6.00,$19.80,$0.00,$642.75,,,,,,,,
10/8/2019,69.6,56.4,4.8,4.8,0,6.6,142.2,,mayo 2020,175.1,208.1,4.3,0,14.5,18.7,420.7,,mayo 2020,$262.65,$624.30,$4.30,$0.00,$14.50,$0.00,$905.75,,,,,,,,
11/8/2019,43.6,38.4,0,2.3,0,4.8,89.1,,junio 2020,44.2,84.9,0,0,19,28,176.1,,junio 2020,$66.30,$254.70,$0.00,$0.00,$19.00,$0.00,$340.00,,,,,,,,
16/8/2019,136.8,38.4,0,3.26,0,9.16,187.62,,julio 2020,120.7,163.9,12.6,0.9,13.4,31.8,343.3,,julio 2020,$181.05,$491.70,$12.60,$13.50,$13.40,$0.00,$712.25,,,,,,,,
22/8/2019,42.65,27.4,18.1,7.4,0,0,95.55,,agosto 2020,106.8,88.2,2.6,1.9,12.8,4.8,217.1,,agosto 2020,$160.20,$264.60,$2.60,$28.50,$12.80,$0.00,$468.70,,,,,,,,
27/8/2019,46,56,8.1,3,0,7.3,120.4,,septiembre 2020,57.8,96.9,6.2,0,8.7,2.8,172.4,,septiembre 2020,$86.70,$290.70,$6.20,$0.00,$8.70,$0.00,$392.30,,,,,,,,
17/9/2019,43.4,69.8,0,4.8,0,5.4,123.4,,octubre 2020,149.8,184,15.5,0,22.6,23.6,395.5,,octubre 2020,$224.70,$552.00,$15.50,$0.00,$22.60,$0.00,$814.80,,,,,,,,
24/9/2019,43.4,58.6,0,13.8,0,5.4,121.2,,noviembre 2020,39.9,46.7,3.4,1.6,4.8,4.3,100.7,,noviembre 2020,$59.85,$140.10,$3.40,$24.00,$4.80,$0.00,$232.15,,,,,,,,
15/10/2019,46.6,68.3,2.8,4.9,0,6.4,129,,diciembre 2020,154.7,70.2,0,5.25,15.5,13,258.65,,diciembre 2020,$232.05,$210.60,$0.00,$78.75,$15.50,$0.00,$536.90,,,,,,,,
22/10/2019,46.5,38.4,4.6,3.9,0,5.8,99.2,,enero 2021,84,107,73,28,40,32,364,,enero 2021,$126.00,$321.00,$73.00,$420.00,$40.00,$0.00,$980.00,,,,,,,,
29/10/2019,67.2,46.4,0,10.2,0,3.8,127.6,,febrero 2021,155,40,0,33,0,60,288,,febrero 2021,$232.50,$120.00,$0.00,$495.00,$0.00,$0.00,$847.50,,,,,,,,
10/11/2019,39,30,0,6.5,0,5,80.5,,marzo 2021,206,161,62,26,55,50,560,,marzo 2021,$309.00,$483.00,$62.00,$390.00,$55.00,$0.00,"$1,299.00",,,,,,,,
